,order_id,user_id,order_number,orders_day_of_week,order_hour_of_day,days_from_last_order,first_order
0,1024616,128687,88,1,18,4.0,False
1,2024629,95705,9,3,14,9.0,False
2,1118304,78856,20,0,9,2.0,False
3,2388507,79262,5,2,16,26.0,False
4,2519891,94258,2,1,16,5.0,False
5,2439392,198923,2,3,6,7.0,False
6,369752,18754,7,5,8,1.0,False
7,2108216,84496,37,1,14,6.0,False
8,546547,128066,69,2,8,4.0,False
9,2231664,146649,3,1,10,11.0,False
10,746728,55353,1,0,22,,True
11,812204,194567,2,5,11,2.0,False
12,121978,185208,16,2,9,1.0,False
13,2271067,120694,4,2,18,13.0,False
14,2809063,178874,3,0,11,7.0,False
15,2704218,77075,30,5,8,4.0,False
16,1093695,146102,9,6,20,12.0,False
17,2734456,188496,29,1,17,14.0,False
18,1747057,74174,30,3,15,7.0,False
19,990851,75304,3,4,12,17.0,False
20,1927611,21072,29,3,14,7.0,False
21,687718,85975,19,1,16,3.0,False
22,106407,14305,30,3,19,5.0,False
23,3273233,179033,8,5,14,15.0,False
24,73794,130939,11,2,9,15.0,False
25,647926,106361,4,3,9,22.0,False
26,235331,67727,22,5,14,8.0,False
27,2862735,48547,49,3,16,14.0,False
28,1508139,192589,40,2,16,2.0,False
29,135629,200092,7,2,10,8.0,False
30,1775913,152504,5,2,16,4.0,False
31,2275662,100561,19,0,14,30.0,False
32,3153977,17466,18,0,10,5.0,False
33,2032792,88010,39,5,20,6.0,False
34,2440773,3790,1,4,11,,True
35,567674,94691,1,5,15,,True
36,1815943,63197,9,0,12,22.0,False
37,667712,55989,73,1,16,4.0,False
38,3012588,106459,2,0,21,30.0,False
39,775879,201382,19,2,16,1.0,False
40,976329,126977,14,4,10,6.0,False
41,1778521,196156,20,2,17,30.0,False
42,2730393,196662,2,3,22,30.0,False
43,2859451,166304,33,1,14,8.0,False
44,902136,62835,9,4,14,3.0,False
45,1850700,35180,7,2,15,4.0,False
46,1140000,139928,6,5,17,13.0,False
47,246489,110022,4,3,14,7.0,False
48,870903,56859,10,0,14,1.0,False
49,1948104,104004,19,4,22,10.0,False
50,257544,2488,18,3,23,13.0,False
51,3279262,67315,16,6,17,6.0,False
52,269013,49481,8,3,23,14.0,False
53,1429128,55701,4,1,13,30.0,False
54,1658229,179795,40,0,16,3.0,False
55,797809,165201,19,1,14,14.0,False
56,305263,32334,48,5,16,1.0,False
57,2329160,64338,3,5,9,30.0,False
58,1257039,110577,38,5,17,8.0,False
59,2293201,68243,32,0,12,2.0,False
60,1506667,30821,29,6,22,4.0,False
61,675396,104996,41,1,11,8.0,False
62,453495,197838,10,3,18,2.0,False
63,1847538,170232,57,6,13,2.0,False
64,2600607,168397,8,1,22,5.0,False
65,2595613,1727,3,0,22,21.0,False
66,1506744,68103,2,0,8,3.0,False
67,1148248,86109,2,2,22,1.0,False
68,2665911,78673,11,3,19,30.0,False
69,444416,176373,16,3,14,22.0,False
